,c_isTimeseries,c_isCube,publisher,temporal,spatial,programCode,modified,keyword,contactPoint,distribution,description,bureauCode,accessLevel,title,c_isAvailable,c_isAggregate,c_valuesLink,c_groupsLink,c_examplesLink,c_tagsLink,c_variablesLink,c_geographyLink,c_dataset,vintage
2000sf1,,,US Census Bureau,2000,US,,,(),"{'fn': 'Census Bureau Call Center', 'hasEmail': 'pio@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/sf1', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","Data files available from Census 2000 and the 2010 Census. This file presents 100-percent population and housing figures for the total population, for 63 race categories, and for many other race and Hispanic or Latino categories. This includes age, sex, households, household relationship, housing units, occupancy status, and tenure (whether the residence is owned or rented). Also included are selected characteristics for a limited number of race and Hispanic or Latino categories. The data are available for the U.S., regions, divisions, states, counties, county subdivisions, places, census tracts, block groups, blocks, metropolitan areas (2000), core based statistical areas (2010), American Indian and Alaska Native areas, tribal subdivisions, Hawaiian home lands, congressional districts, and ZIP Code Tabulation Areas. Data are available down to the block level for many tabulations, but only to the census-tract level for others. The 2010 Census SF 1 has some tables on the population in group quarters that are available only to the county level. Available on DVD and American FactFinder.  The Census 2000 Summary File 1 data were released in three stages. Individual state files and two national files were released. The state-level data were released first, followed by the Advance National File, which covered the same data subjects, but includes national level summary data for areas that cross state boundaries such as whole metropolitan areas, whole American Indian areas, etc. The Final National File contains the same data subjects and geographic areas as the Advance National File, but adds the first available urban/rural and urbanized area data. For the most current release dates for these files, see the ""Census 2000 Release Schedule"" link on the AFFAmerican FactFinder Main Page.  The 2010 Census Summaray File 1 data were released in stages. Individual state files and a national update were released in 2011. The SF 1 urban/rural update is planned for release in Fall 2012. This file contains the same data subjects as the previously released files, but for additional geography, including the urban and rural parts of the United States, regions, divisions, states, counties, and places; and urbanized areas and urban clusters. See the 2010 Census Data Products At A Glance",006:07,public,2000 Decennial: Summary File 1,True,True,https://api.census.gov/data/2000/sf1/values.json,https://api.census.gov/data/2000/sf1/groups.json,https://api.census.gov/data/2000/sf1/examples.json,https://api.census.gov/data/2000/sf1/tags.json,https://api.census.gov/data/2000/sf1/variables.json,https://api.census.gov/data/2000/sf1/geography.json,"('sf1',)",2000.0
2000sf3,,,US Census Bureau,2000,US,,2017-05-23,(),"{'fn': 'Census Bureau Call Center', 'hasEmail': 'pio@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/sf3', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","This Census 2000 file presents data on the population and housing long form subjects such as income and education. It includes population totals for ancestry groups. It also includes selected characteristics for a limited number of race and Hispanic or Latino categories. The data are available for the U.S., regions, divisions, states, counties, county subdivisions, places, census tracts, block groups, metropolitan areas, American Indian and Alaska Native areas, tribal subdivisions, Hawaiian home lands, congressional districts, and Zip Code Tabulation Areas. Available on CD-ROM, DVD, and American FactFinder.  After Census 2000, data on these subjects were produced from the American Community Survey or the Puerto Rico Community Survey.",006:07,public,2000 Decennial: Summary File 3,True,True,https://api.census.gov/data/2000/sf3/values.json,https://api.census.gov/data/2000/sf3/groups.json,https://api.census.gov/data/2000/sf3/examples.json,https://api.census.gov/data/2000/sf3/tags.json,https://api.census.gov/data/2000/sf3/variables.json,https://api.census.gov/data/2000/sf3/geography.json,"('sf3',)",2000.0
ACSCD1132011,,,U.S. Census Bureau,2011/2011,United States,006:004,2014-10-06,(),"{'fn': 'American Community Survey Office', 'hasEmail': 'acso.users.support@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/acs1/cd113', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","The American Community Survey (ACS) is a nationwide survey designed to provide communities a fresh look at how they are changing. The ACS replaced the decennial census long form in 2010 and thereafter by collecting long form type information throughout the decade rather than only once every 10 years. Questionnaires are mailed to a sample of addresses to obtain information about households -- that is, about each person and the housing unit itself. The American Community Survey produces demographic, social, housing and economic estimates in the form of 1-year, 3-year and 5-year estimates based on population thresholds. The strength of the ACS is in estimating population and housing characteristics.  The 3-year data provide key estimates for each of the topic areas covered by the ACS for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 20,000 or more.  Although the ACS produces population, demographic and housing unit estimates,it is the Census Bureau's Population Estimates Program that produces and disseminates the official estimates of the population for the nation, states, counties, cities and towns, and estimates of housing units for states and counties. For 2010 and other decennial census years, the Decennial Census provides the official counts of population and housing units.",006:07,public,2011 American Community Survey 1-Year Profiles for the 113th Congressional Districts,True,True,https://api.census.gov/data/2011/acs1/cd113/values.json,https://api.census.gov/data/2011/acs1/cd113/groups.json,https://api.census.gov/data/2011/acs1/cd113/examples.json,https://api.census.gov/data/2011/acs1/cd113/tags.json,https://api.census.gov/data/2011/acs1/cd113/variables.json,https://api.census.gov/data/2011/acs1/cd113/geography.json,"('acs1', 'cd113')",2011.0
ACSCD1152015,,,U.S. Census Bureau,2015/2015,United States,006:004,2017-02-10,(),"{'fn': 'American Community Survey Office', 'hasEmail': 'acso.users.support@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2015/acs1/cd115', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. The 115th Congressional District Data Profiles are available for the nation, all 50 states, the District of Columbia, and Puerto Rico (at large). Data profiles contain broad social, economic, housing, and demographic information. The data are presented as population counts for over 1,000 distinct variables.",006:07,public,2015 American Community Survey 1-Year Data Profile 115th Congressional District,True,True,https://api.census.gov/data/2015/acs1/cd115/values.json,https://api.census.gov/data/2015/acs1/cd115/groups.json,https://api.census.gov/data/2015/acs1/cd115/examples.json,https://api.census.gov/data/2015/acs1/cd115/tags.json,https://api.census.gov/data/2015/acs1/cd115/variables.json,https://api.census.gov/data/2015/acs1/cd115/geography.json,"('acs1', 'cd115')",2015.0
ACSCP1Y2010,,True,U.S. Census Bureau,unidentified,United States,006:004,2018-09-18 00:00:00.0,(),"{'fn': 'American Community Survey Office', 'hasEmail': 'acso.users.support@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/acs/acs1/cprofile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Comparison profiles are similar to data profiles but also include comparisons with past-year data.  The current year data are compared with each of the last four years of data and include statistical significance testing.  There are over 1,000 variables in this dataset.",,,ACS 1-Year Comparison Profiles,True,True,https://api.census.gov/data/2010/acs/acs1/cprofile/values.json,https://api.census.gov/data/2010/acs/acs1/cprofile/groups.json,https://api.census.gov/data/2010/acs/acs1/cprofile/examples.json,https://api.census.gov/data/2010/acs/acs1/cprofile/tags.json,https://api.census.gov/data/2010/acs/acs1/cprofile/variables.json,https://api.census.gov/data/2010/acs/acs1/cprofile/geography.json,"('acs', 'acs1', 'cprofile')",2010.0
ACSCP1Y2011,,True,U.S. Census Bureau,unidentified,United States,006:004,2018-09-18 00:00:00.0,(),"{'fn': 'American Community Survey Office', 'hasEmail': 'acso.users.support@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/acs/acs1/cprofile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Comparison profiles are similar to data profiles but also include comparisons with past-year data.  The current year data are compared with each of the last four years of data and include statistical significance testing.  There are over 1,000 variables in this dataset.",,,ACS 1-Year Comparison Profiles,True,True,https://api.census.gov/data/2011/acs/acs1/cprofile/values.json,https://api.census.gov/data/2011/acs/acs1/cprofile/groups.json,https://api.census.gov/data/2011/acs/acs1/cprofile/examples.json,https://api.census.gov/data/2011/acs/acs1/cprofile/tags.json,https://api.census.gov/data/2011/acs/acs1/cprofile/variables.json,https://api.census.gov/data/2011/acs/acs1/cprofile/geography.json,"('acs', 'acs1', 'cprofile')",2011.0
ACSCP1Y2012,,True,U.S. Census Bureau,unidentified,United States,006:004,2018-09-18 00:00:00.0,(),"{'fn': 'American Community Survey Office', 'hasEmail': 'acso.users.support@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/acs/acs1/cprofile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Comparison profiles are similar to data profiles but also include comparisons with past-year data.  The current year data are compared with each of the last four years of data and include statistical significance testing.  There are over 1,000 variables in this dataset.",,,ACS 1-Year Comparison Profiles,True,True,https://api.census.gov/data/2012/acs/acs1/cprofile/values.json,https://api.census.gov/data/2012/acs/acs1/cprofile/groups.json,https://api.census.gov/data/2012/acs/acs1/cprofile/examples.json,https://api.census.gov/data/2012/acs/acs1/cprofile/tags.json,https://api.census.gov/data/2012/acs/acs1/cprofile/variables.json,https://api.census.gov/data/2012/acs/acs1/cprofile/geography.json,"('acs', 'acs1', 'cprofile')",2012.0
ACSCP1Y2013,,True,U.S. Census Bureau,unidentified,United States,006:004,2018-09-18 00:00:00.0,(),"{'fn': 'American Community Survey Office', 'hasEmail': 'acso.users.support@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2013/acs/acs1/cprofile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Comparison profiles are similar to data profiles but also include comparisons with past-year data.  The current year data are compared with each of the last four years of data and include statistical significance testing.  There are over 1,000 variables in this dataset.",,,ACS 1-Year Comparison Profiles,True,True,https://api.census.gov/data/2013/acs/acs1/cprofile/values.json,https://api.census.gov/data/2013/acs/acs1/cprofile/groups.json,https://api.census.gov/data/2013/acs/acs1/cprofile/examples.json,https://api.census.gov/data/2013/acs/acs1/cprofile/tags.json,https://api.census.gov/data/2013/acs/acs1/cprofile/variables.json,https://api.census.gov/data/2013/acs/acs1/cprofile/geography.json,"('acs', 'acs1', 'cprofile')",2013.0
ACSCP1Y2014,,True,U.S. Census Bureau,unidentified,United States,006:004,2018-06-20 00:00:00.0,(),"{'fn': 'American Community Survey Office', 'hasEmail': 'acso.users.support@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2014/acs/acs1/cprofile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population.  Summary file, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Comparison profiles are similar to data profiles but also include comparisons with past-year data.  The current year data are compared with each of the last four years of data and include statistical significance testing.  There are over 9,000 variables in this dataset.",,,ACS 1-Year Comparison Profiles,True,True,https://api.census.gov/data/2014/acs/acs1/cprofile/values.json,https://api.census.gov/data/2014/acs/acs1/cprofile/groups.json,https://api.census.gov/data/2014/acs/acs1/cprofile/examples.json,https://api.census.gov/data/2014/acs/acs1/cprofile/tags.json,https://api.census.gov/data/2014/acs/acs1/cprofile/variables.json,https://api.census.gov/data/2014/acs/acs1/cprofile/geography.json,"('acs', 'acs1', 'cprofile')",2014.0
ACSCP1Y2015,,True,U.S. Census Bureau,unidentified,United States,006:004,2018-06-20 00:00:00.0,(),"{'fn': 'American Community Survey Office', 'hasEmail': 'mailto:acso.users.support@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2015/acs/acs1/cprofile', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex.  Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more.  Comparison profiles are similar to data profiles but also include comparisons with past-year data.  The current year data are compared with each of the last four years of data and include statistical significance testing.  There are over 1,000 variables in this dataset.",,,ACS 1-Year Comparison Profiles,True,True,https://api.census.gov/data/2015/acs/acs1/cprofile/values.json,https://api.census.gov/data/2015/acs/acs1/cprofile/groups.json,https://api.census.gov/data/2015/acs/acs1/cprofile/examples.json,https://api.census.gov/data/2015/acs/acs1/cprofile/tags.json,https://api.census.gov/data/2015/acs/acs1/cprofile/variables.json,https://api.census.gov/data/2015/acs/acs1/cprofile/geography.json,"('acs', 'acs1', 'cprofile')",2015.0
